,acea,aceb,acek,fabb,fabd,fabg,fabh,fadd,fade,fadh,fadi,fadj,fadr,hipa,hipb,iclr
sbcB_U_N0075_r1,8.68967,9.53075,8.36051,11.5445,10.6839,12.0571,10.7716,7.62664,8.30522,8.46315,7.91608,8.64955,8.61585,7.30743,8.09165,9.42242
sbcB_U_N0075_r2,8.29247,9.3268,7.97595,11.4811,10.6686,11.9599,10.9768,7.89966,8.35265,8.3295,7.91214,8.38483,8.92309,7.672,8.571,9.25608
sbcB_U_N0075_r3,8.82134,10.1635,8.20298,11.4482,10.6016,11.9469,11.013,7.91932,8.78646,8.44013,8.12598,8.69689,8.8102,7.73687,8.30683,9.26433
uspA_U_N0075_r1,8.49152,9.67206,8.10342,11.6528,10.8934,12.0633,10.9981,7.90009,8.37473,8.41779,8.12104,8.57248,8.96548,7.6822,8.45202,9.29339
uspA_U_N0075_r2,8.39135,9.34657,7.9386,11.5331,10.7927,12.0692,10.839,7.7276,8.44802,8.38449,7.7774,8.27399,8.68975,7.33843,8.29823,9.43036
uspA_U_N0075_r3,8.72914,10.024,8.54896,11.3903,10.4545,11.8877,10.6607,7.25257,8.50156,8.51892,7.8625,8.53505,8.40013,7.18005,7.83601,9.32399
WT_N0000_r1,7.91974,8.89911,8.77242,11.4569,10.5897,12.1816,10.6153,8.2176,8.53334,8.588,8.18935,9.41859,8.51464,8.25637,7.84189,8.3754
WT_N0000_r2,8.18214,9.13519,8.71676,11.5712,11.0155,12.4996,10.9837,8.21727,8.97952,8.37453,8.15609,9.52188,8.74856,8.4172,8.26887,8.65078
WT_N0025_r1,7.89019,8.58687,8.5821,11.613,10.6995,12.0639,10.7042,7.9828,8.68665,8.53142,8.04857,9.00814,8.31993,8.1816,8.02425,8.40452
WT_N0025_r2,7.9987,8.81733,8.50611,11.8435,11.1788,12.5221,11.4234,8.24068,8.41526,8.60492,8.07754,9.18393,8.82681,8.40979,8.20549,8.71037
WT_N0050_r1,8.46786,9.25045,8.74185,11.598,10.301,11.6227,11.1125,7.9986,8.11752,8.705,8.04208,8.97797,8.36758,7.90438,8.19364,8.8914
WT_N0050_r2,8.17544,8.80137,8.85381,11.2953,10.3642,12.1471,10.5537,7.78224,8.46774,8.76264,8.20926,9.11001,8.42979,8.11062,7.86853,8.79679
WT_N0075_r1,9.61563,10.8461,8.75106,11.4101,10.202,11.781,10.5455,7.56707,8.70961,8.69706,8.40569,9.43534,8.65463,7.92765,8.49628,9.2984
WT_N0075_r2,9.82215,11.0456,8.69121,11.3548,10.3172,11.9046,10.6262,7.63201,8.79321,8.55329,8.44764,9.46488,8.56182,8.01679,8.51363,9.31273
recA_D_N0000_r1,10.2705,10.7145,8.24162,11.4867,11.0987,12.218,11.1934,7.75923,8.80468,8.92001,8.73768,9.50965,9.07431,8.08788,9.22174,8.52614
recA_D_N0000_r2,10.305,10.7976,8.79204,11.3458,11.1509,12.0983,11.2536,8.01141,8.58766,9.01328,8.76807,9.82711,8.84491,8.05231,8.84969,8.64839
recA_D_N0050_r1,9.25619,10.1732,7.85911,11.3139,11.8911,12.9022,11.9598,7.95971,8.92854,8.98697,8.76413,9.52908,8.99512,8.0181,8.69445,8.30216
recA_D_N0050_r2,9.4373,10.2259,8.12723,11.3588,12.041,12.5448,12.1083,8.16367,8.53176,9.1969,8.87481,9.55355,8.92008,8.04032,8.59571,8.44477
recA_D_N0100_r1,8.70879,9.82864,7.69154,11.6027,12.1225,13.0367,12.3813,8.30171,8.66085,9.06612,8.87932,9.5439,8.8083,7.71734,8.49608,8.31363
recA_D_N0100_r2,8.38503,9.55408,7.69724,11.5504,12.0769,13.0103,12.3042,8.23305,8.77384,8.78933,8.86347,9.69514,8.93446,7.90036,8.38979,8.24192
WT_D_N0100_r1,8.8593,9.60329,7.93417,11.5449,12.1207,13.2467,11.9361,8.23716,8.81984,8.77221,8.39468,9.66684,8.98083,8.0968,8.75177,8.04206
WT_D_N0100_r2,8.96738,9.71241,7.96281,11.4671,11.8203,13.0176,11.8666,7.89068,8.72098,8.85345,8.54893,9.48253,8.87534,8.07348,9.11415,7.83973
luc2_U_N0025_r1,8.6322,10.1914,8.4439,11.4774,11.4187,12.2728,11.4362,8.10452,8.61735,8.53224,8.10382,8.99205,9.05969,7.87609,8.23919,8.80848
luc2_U_N0025_r2,8.55038,9.6467,8.08522,11.766,11.6813,12.5818,11.7286,8.22866,8.48403,8.47637,8.22665,8.8671,9.24221,8.0279,8.89313,8.88125
luc2_U_N0000_r1,8.2168,9.7574,8.4701,11.7152,11.5701,12.5598,11.6663,8.30117,9.13594,8.5459,8.08551,8.9097,8.91976,8.00218,8.23011,8.70159
luc2_U_N0000_r2,9.13026,10.2571,8.25195,11.6892,11.5967,12.5963,11.6491,8.09706,8.49855,8.44062,8.24947,8.79698,9.13113,7.86664,8.63325,8.96693
